Identifier,Status catalogue,Business line/Ligne d'affaires,Type of product/ Type de produit,Title/Titre (Eng),Description (English/anglais),Catalogue Link (EN),Title/Titre (Fra),Description (French/français),Catalogue Link (FR),Provider/Fournisseur,Homepage,Product has related courses/Ce produit a des cours connexes,Related courses/Cours connexes,Primary Intended Audience/Public ciblé principal,Total length of English product (h:mm:ss) / Durée totale du produit anglais (h:mm:ss),Total length of French product (h:mm:ss) / Durée totale du produit francais (h:mm:ss) copy,Duration - Showcard,Duration - Product page,Curriculum Architecture Placement/Emplacement dans l'architecture du curriculum,"If Corporate Skills, choose a sub-category/ Si Compétences organisationnelles, choisir une sous-catégorie","If Digital and Data, choose a sub-category/ Si numérique et données , choisir une sous-catégorie","If Healthy Workplace, choose a sub-category/ Si milieu de travail sain, choisir une sous-catégorie","If Public Sector Foundations, choose a sub-category/ Si fondements du secteur public, choisir une sous-catégorie","If Transferable Skills, choose a sub-category/ Si compétences transférables, choisir une sous-catégorie",Topics/Sujets,"Under Communication, are any of these sub-topics applicable?/Sous communication, un de ces sous-sujets est-il applicable ?","Under digital, data and design, are any of these sub-topics applicable?/Sous numérique, données et conception, un de ces sous-sujets est-il applicable ?","Under leadership, are any of these sub-topics applicable?/Sous leadership, un de ces sous-sujets est-il applicable ?","Under wellbeing, are any of these sub-topics applicable?/Sous mieux-être, un de ces sous-sujets est-il applicable ?","Under diversity, inclusion and Indigenous reconciliation, are any of these sub-topics applicable?/Sous diversité, inclusion et réconciliation avec les Autochtones, un de ces sous-sujets est-il applicable ?","Under working with others, are any of these sub-topics applicable?/Sous travailler ensemble, un de ces sous-sujets est-il applicable ?","Under project and product management, are any of these sub-topics applicable?/Sous gestion de produits et de projets, un de ces sous-sujets est-il applicable ?","Under government operations, are any of these sub-topics applicable?/Sous opérations gouvernementales, un de ces sous-sujets est-il applicable ?"
DDN2-A07,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,"Show Me Your Digital ID, Please (DDN2-A07)",This article explores how the notion of digital identity is evolving and what this means for users of online services.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A07&cm_locale=en,"Montrez-moi votre carte d'identité numérique, s'il vous plaît (DDN2-A07)",Cet article vise à examiner l'évolution de la notion d'identité numérique et sa signification pour les utilisateurs et utilisatrices de services en ligne.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A07&cm_locale=fr,CSPS/EFPC,CSPS website,No/Non,,Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception""",,Security and privacy/Sécurité et confidentialité,,,,,,
DDN2-A08,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Fake News and Clickbait: Identifying Misinformation and Disinformation (DDN2-A08),This article delves into the transformative potential of data disaggregation and sheds light on its role in enhancing efficiency and fostering equity in government operations.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A08&cm_locale=en,Fausses nouvelles et pièges à clics : repérer la désinformation et la mésinformation (DDN2-A08),Cet article traite du potentiel transformateur de la désagrégation des données et met en lumière la façon dont elle peut servir à accroître l'efficacité des activités gouvernementales et à les rendre équitables.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A08&cm_locale=fr,CSPS/EFPC,CSPS website,No/Non,,Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception"",Leadership/Leadership",,Security and privacy/Sécurité et confidentialité,"Risk management/Gestion du risque,Digital leadership/Leadership numérique",,,,,
DDN2-A09,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Exploring Low- and No-Code Tools (DDN2-A09),This article explains how low-code and no-code platforms are enabling non-specialists to create applications and automate processes.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A09&cm_locale=en,Explorer les outils de programmation schématisée et sans codage (DDN2-A09),Cet article porte sur la façon dont les plateformes de développement schématisé et sans code permettent de créer des applications et d'automatiser des processus sans avoir à être spécialiste.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A09&cm_locale=fr,CSPS/EFPC,CSPS website,No/Non,,Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception"",Project and product management/Gestion de produits et de projets",,"Information technology/Technologies de l’information,Design/Conception,Data/Données",,,,,"Information technology/Technologies de l’information,Security and privacy/Sécurité et confidentialité",
DDN2-A10,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Don’t Be a Character in an Espionage Thriller (DDN2-A10),This article explores cyber security in the public service and how good data stewardship contributes to keeping sensitive information secure. ,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A10&cm_locale=en,Ne soyez pas un personnage dans un suspense d’espionnage (DDN2-A10),Cet article traite de la cybersécurité au sein de la fonction publique et de la manière dont une bonne gestion des données contribue à assurer la sécurité de l’information de nature délicate. ,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A10&cm_locale=fr,CSPS/EFPC,CSPS website,No/Non,,Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception"",Government operations/Opérations gouvernementales",,"Data/Données,Security and privacy/Sécurité et confidentialité",,,,,,Security and privacy/Sécurité et confidentialité
DDN2-A11,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Adopting Agile Methods in the Public Service (DDN2-A11),"This article describes the origins of the concept of agile, how it is used and why it is relevant to effective program and service delivery.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A11&cm_locale=en,Adopter les méthodes agiles dans la fonction publique (DDN2-A11),"Cet article porte sur l'origine de la notion d'agilité, son application et sa pertinence en ce qui concerne la prestation efficace de programmes et de services.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A11&cm_locale=fr,CSPS/EFPC,CSPS website,Yes/Oui,"DDN208 - Introduction to Agile in the Public Service/Introduction à la notion d'agilité dans la fonction publique,TRN228 - Agile Stakeholder Engagement and Team Development/Implication des parties prenantes et développement d'équipe Agile,TRN320 - Cultivating Enterprise Agile/Cultiver le management agile,TRN227 - Developing and Supporting an Agile Mind-set/Développer et entretenir un état d'esprit agile,TRN226 - Embracing an Agile Culture for Business Growth/Instaurer une culture agile pour stimuler la croissance de l'entreprise","Employees/Employés,Supervisors/Superviseurs,Managers/Gestionnaires",,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception"",Working with others/Travailler ensemble",,Digital Leadership/Leadership numérique,,,,Collaboration and partnership/Collaboration et partenariat,,
DDN2-A12,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,OpenAI's ChatGPT Explained (DDN2-A12),"This article explores OpenAI's ChatGPT system, its capabilities as an AI language model and its present-day limitations.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A12&cm_locale=en,Aperçu de ChatGPT d’OpenAI (DDN2-A12),"Cet article porte sur ChatGPT, de la compagnie OpenAI, ses capacités en tant que modèle de langage d'IA et ses limites actuelles.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A12&cm_locale=fr,CSPS/EFPC,CSPS website,Yes/Oui,"DDN103 - Applying Virtual Assistant Technology/Appliquer la technologie d'assistance virtuelle,DDN219 - Transforming the Workplace Using Artificial Intelligence/Transformer l'environnement de travail avec l'intelligence artificielle,DDN220 - Getting Started with Machine Learning/Démarrer avec l'apprentissage automatique,*Other/Autre",Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception"",Artificial Intelligence/Intelligence artificielle",,,,,,,,
DDN2-A13,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,NFTs Explained (DDN2-A13),"This article explores non-fungible tokens (NFTs), what they are and why they matter beyond their basic use in digital media.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A13&cm_locale=en,Démystifier les jetons non fongibles (NFTs) (DDN2-A13),"Cet article porte sur les jetons non fongibles (NFTs), ce qu'ils sont et leur importance, outre leur utilisation dans les médias numériques.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A13&cm_locale=fr ,CSPS/EFPC,CSPS website,Yes/Oui,"DDN202 - Digital in Practice/Le numérique en pratique,DDN217 - Achieving Digital Dexterity/Atteindre la dextérité numérique,*Other/Autre",Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception""",,Data/Données,,,,,,
DDN2-A14,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Demystifying Artificial Intelligence (DDN2-A14),This article demystifies the complex world of artificial intelligence (AI) and its potential to transform government services.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A14&cm_locale=en,Démystifier l’intelligence artificielle (DDN2-A14),Cet article vise à vulgariser le monde complexe de l'intelligence artificielle (IA) et les possibilités que l'IA présente pour transformer les services du gouvernement.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A14&cm_locale=fr,CSPS/EFPC,CSPS website,Yes/Oui,"*Other/Autre,DDN220 - Getting Started with Machine Learning/Démarrer avec l'apprentissage automatique",Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception"",Artificial Intelligence/Intelligence artificielle",,Data/Données,,,,,,
DDN2-A15,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Design Thinking for Impactful Solutions (DDN2-A15),This article explores the basics of design thinking and how it can contribute to a more comprehensive understanding of the overall design process.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A15&cm_locale=en,Trouver des solutions efficaces grâce à la réflexion conceptuelle (DDN2-A15),Cet article vise à explorer les principes fondamentaux de la réflexion conceptuelle et la manière dont ils peuvent contribuer à améliorer la compréhension globale du processus de conception.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A15&cm_locale=fr,CSPS/EFPC,CSPS website,Yes/Oui,"DDN223 - Inclusive by Design: Applying the GC Digital Standards and Gender-based Analysis Plus/Conception inclusive : appliquer les normes numériques du GC et l'analyse comparative entre les sexes plus,DDN207 - Introduction to Human-Centred Design/Introduction à la conception centrée sur la personne,DDN208 - Introduction to Agile in the Public Service/Introduction à la notion d'agilité dans la fonction publique,DDN201 - How to Be Digital in the Canadian Public Service/Comment adopter le numérique dans la fonction publique canadienne,DDN217 - Achieving Digital Dexterity/Atteindre la dextérité numérique,DDN202 - Digital in Practice/Le numérique en pratique",Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception""",,Design/Conception,,,,,,
DDN2-A16,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,The Importance of Evidence-Informed Decision-Making (DDN2-A16),This article explores the importance of evidence-informed decision-making and offering sound and logical advice that is supported by credible evidence in a way that will resonate with the intended audience.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A16&cm_locale=en,L'importance de la prise de décision fondée sur des données probantes (DDN2-A16),"Cet article traite de l'importance d'une prise de décision fondée sur des données probantes, laquelle suppose de donner des conseils judicieux et logiques, étayés par des données crédibles, d'une manière qui trouve un écho auprès du public visé.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A16&cm_locale=fr,CSPS/EFPC,CSPS website,No/Non,,Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception""",,,,,,,,
DDN2-A17,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Demystifying Web3 (DDN2-A17),"This article explores Web3, how it differs from previous phases of the web, and the potential advantages and disadvantages of adopting this technology.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A17&cm_locale=en,Démystifier le Web3 (DDN2-A17),"Cet article traite du Web3, de ses différences avec les versions précédentes du Web, ainsi que des avantages et des inconvénients éventuels de l'adoption de cette technologie.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A17&cm_locale=fr,CSPS/EFPC,CSPS website,Yes/Oui,"DDN202 - Digital in Practice/Le numérique en pratique,DDN201 - How to Be Digital in the Canadian Public Service/Comment adopter le numérique dans la fonction publique canadienne,DDN217 - Achieving Digital Dexterity/Atteindre la dextérité numérique",Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception""",,,,,,,,
DDN2-A18,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Robotic Process Automation Explained (DDN2-A18),"This article presents the fundamentals of Robotic Process Automation (RPA), its benefits, challenges and future potential.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A18&cm_locale=en,Démystifions l'automatisation robotisée des processus (DDN2-A18),"Cet article présente les fondamentaux de l'automatisation robotisée des processus (APR), ses avantages, défis et potentiel futur.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A18&cm_locale=fr,CSPS/EFPC,CSPS website,No/Non,,Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception"",Artificial Intelligence/Intelligence artificielle",,Design/Conception,,,,,,
DDN2-A19,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Level Up Your Cyber Security Skills: Staying Ahead of Evolving Threats (DDN2-A19),"This article explains why an organization-wide approach to cyber security awareness, habits and readiness is key to successfully preventing cyber attacks.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A19&cm_locale=en,Améliorez vos compétences en cybersécurité : restez à l'affût des menaces qui vous guettent (DDN2-A19),"Cet article vise à démontrer qu'une approche déployée à l'échelle de l'organisation en matière de connaissances, d'habitudes et de préparation relatives à la cybersécurité est essentielle pour se prémunir contre les cyberattaques.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A19&cm_locale=fr,CSPS/EFPC,CSPS website,Yes/Oui,"DDN235 - Discovering Cyber Security/À la découverte de la cybersécurité,DDN233 - Cyber Security in the GC and Online Exposure/La cybersécurité dans le GC et la visibilité en ligne,COR504 - Privacy in the Government of Canada/Protection des renseignements personnels au sein du gouvernement du Canada,COR502 - Access to Information and Privacy Fundamentals/Cours de base sur l'accès à l'information et la protection des renseignements personnels",Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception""",,Security and privacy/Sécurité et confidentialité,,,,,,
DDN2-A20,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Dialing Down the Heat with Machine Learning (DDN2-A20),This article explores the benefits and risks of using machine learning to enhance climate resilience.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A20&cm_locale=en,Lutter contre les changements climatiques grâce à l’apprentissage automatique (DDN2-A20),Cet article traite des avantages et des risques liés à l'utilisation de l'apprentissage automatique pour renforcer la résilience face au changement climatique.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A20&cm_locale=fr ,CSPS/EFPC,CSPS website,Yes/Oui,"DDN220 - Getting Started with Machine Learning/Démarrer avec l'apprentissage automatique,DDN219 - Transforming the Workplace Using Artificial Intelligence/Transformer l'environnement de travail avec l'intelligence artificielle",Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception""",,Data/Données,,,,,,
DDN2-A21,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,5G Explained (DDN2-A21),"This article provides an overview of the 5G network, including what it is, how it works, how it differs from other networks, and the benefits and challenges it presents.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A21&cm_locale=en,Démystifier la 5G (DDN2-A21),"Cet article présente une vue d'ensemble du réseau 5G : ce qu'il est, comment il fonctionne, ce qui le distingue des autres réseaux, ainsi que les avantages et les défis qu'il présente.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A21&cm_locale=fr,CSPS/EFPC,CSPS website,Yes/Oui,"DDN233 - Cyber Security in the GC and Online Exposure/La cybersécurité dans le GC et la visibilité en ligne,DDN202 - Digital in Practice/Le numérique en pratique",Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception""",,,,,,,,
DDN2-A22,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Behavioural Insights: Taking Service Design to the Next Level (DDN2-A22),This article describes the behavioural insights approach and how to use it to improve policy-making and service design.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A22&cm_locale=en,Introspection comportementale : faire passer la conception des services à un niveau supérieur (DDN2-A22),Cet article porte sur l'introspection comportementale et sur la manière d'utiliser cette approche pour améliorer les politiques et de la conception des services.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A22&cm_locale=fr,CSPS/EFPC,CSPS website,No/Non,,Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception""",,Design/Conception,,,,,,
DDN2-A23,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Software as a Service Explained (DDN2-A23),"This article presents an overview of software as a service (SaaS) and explains how it differs from other cloud-based service delivery models, as well as the benefits and challenges associated with its use.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A23&cm_locale=en,Démystifions le logiciel-service (DDN2-A23),Cet article donne un aperçu du logiciel-service (modèle SaaS) et permet d'expliquer ce qui le distingue des autres modèles de prestation de services en nuage ainsi que les avantages et les difficultés associés à son utilisation.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A23&cm_locale=fr ,CSPS/EFPC,CSPS website,Yes/Oui,*Other/Autre,Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception""",,,,,,,,
DDN2-A24,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Immersive Technologies Explained (DDN2-A24),"This article explains immersive technologies, their most common forms, their practical applications, and their potential benefits and risks.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A24&cm_locale=en,Démystifions les technologies immersives (DDN2-A24),"Cet article vise à expliquer les technologies immersives, les formes les plus communes, leurs applications pratiques ainsi que les avantages et les risques qui y sont associés.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A24&cm_locale=fr,CSPS/EFPC,CSPS website,Yes/Oui,"DDN216 - Creating Engagement with Virtual Reality/Générer l'implication avec la réalité virtuelle,DDN102 - Using Augmented Reality for Organizational Gains/Utilisation de la réalité augmentée pour des gains organisationnels",Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception""",,Information technology/Technologies de l’information,,,,,,
DDN2-A25,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Using Large Language Models (Like ChatGPT) in the Federal Public Service (DDN2-A25),This article explores large language models like ChatGPT and important considerations for the adoption of this kind of technology in the federal public service. ,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A25&cm_locale=en,Utilisation des grands modèles de langage (comme ChatGPT) dans la fonction publique fédérale (DDN2-A25),"Cet article porte sur les grands modèles de langage, comme ChatGPT, et les facteurs importants à considérer lors de l'adoption de ce type de technologie à la fonction publique fédérale. ",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A25&cm_locale=fr,CSPS/EFPC,CSPS website,Yes/Oui,"DDN225 - Building a Culture of Design Thinking/Construire une culture du « design thinking »,TRN239 - Design Thinking for Innovation: Brainstorming and Ideation/Le design thinking au service de l'innovation : Brainstorming et idéation,TRN238 - Design Thinking for Innovation: Defining Opportunities/Le design thinking au service de l'innovation : Définition d'opportunités,*Other/Autre",Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception"",Artificial Intelligence/Intelligence artificielle",,Design/Conception,,,,,,
DDN2-A26,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Bridging the Gap: Unraveling the Digital Divide (DDN2-A26),This article explores the ongoing challenges with providing Canadians with equitable access to technology and ways of mitigating them.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A26&cm_locale=en,Sonder le fossé numérique pour combler l’écart (DDN2-A26),"Cet article traite des défis à l'égard de l'accès équitable de la population canadienne à la technologie, et des façons de les surmonter.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A26&cm_locale=fr ,CSPS/EFPC,CSPS website,Yes/Oui,"DDN302 - How Data Literate Are You?/Évaluer son niveau de littératie des données,DDN217 - Achieving Digital Dexterity/Atteindre la dextérité numérique,DDN202 - Digital in Practice/Le numérique en pratique,DDN204 - Discover Digital for Executives/Découvrez le numérique pour les cadres",Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception""",,Information technology/Technologies de l’information,,,,,,
DDN2-A27,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Legacy Information Technology in the Public Service (DDN2-A27),This article examines the reasons for the continued use of legacy IT systems across the federal public service and explores potential ways to transition towards the next generation of IT solutions.  ,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A27&cm_locale=en,L’ancienne technologie de l’information dans la fonction publique (DDN2-A27),Cet article permet de cerner les raisons pour lesquelles on continue d'utiliser des systèmes de TI désuets dans la fonction publique fédérale et d'examiner des façons possibles de mener la transition vers la prochaine génération de solutions en matière de TI.  ,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A27&cm_locale=fr ,CSPS/EFPC,CSPS website,Yes/Oui,"DDN214 - Best Practices for Digital Transformation/Les bonnes pratiques pour la transformation numérique,DDN105 - Enabling Business-IT Collaboration and Strategic Alignment/Favoriser la collaboration métier-informatique et l'alignement stratégique,DDN104 - Discover GC Cloud/Découvrez le nuage du GC,*Other/Autre",Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception""",,Information technology/Technologies de l’information,,,,,,
DDN2-A28,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,A Roadmap to Digital Accessibility (DDN2-A28) ,"This article explores the importance of digital accessibility in the workplace and offers actionable insights to use the principles of accessibility to further enhance inclusivity, compliance and efficiency.  ",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A28&cm_locale=en,Une feuille de route vers l'accessibilité numérique (DDN2-A28) ,"Cet article permet d'explorer l'importance de l'accessibilité numérique en milieu de travail et propose des mesures concrètes qui permettent d'utiliser les principes de l'accessibilité de façon à favoriser l'inclusion, la conformité et l'efficacité.  ",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A28&cm_locale=fr,CSPS/EFPC,CSPS website,Yes/Oui,"INC115 - Addressing Disability Inclusion and Barriers to Accessibility/ Favoriser l'inclusion des personnes en situation de handicap et la levée des obstacles à l'accessibilité,INC120 - Disability Management and Workplace Wellness/Gestion de l'incapacité et mieux-être en milieu de travail",Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception"",""Diversity, inclusion and Indigenous reconciliation/Diversité, inclusion et réconciliation avec les Autochtones""",,Accessibility/Accessibilité,,,Accessibility/Accessibilité,,,
DDN2-A29,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Outsmarting Social Engineering (DDN2-A29),This article provides valuable insights and tips about how to outsmart social engineering attacks and safeguard against manipulative tactics that target human behaviours and vulnerabilities.  ,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A29&cm_locale=en,Déjouer le piratage psychologique (DDN2-A29),Cet article donne des renseignements et des conseils précieux pour esquiver les attaques par piratage psychologique et pour se protéger contre les tactiques manipulatrices qui ciblent les vulnérabilités et le comportement humains.,https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A29&cm_locale=fr ,CSPS/EFPC,CSPS website,Yes/Oui,"DDN235 - Discovering Cyber Security/À la découverte de la cybersécurité,DDN233 - Cyber Security in the GC and Online Exposure/La cybersécurité dans le GC et la visibilité en ligne,COR504 - Privacy in the Government of Canada/Protection des renseignements personnels au sein du gouvernement du Canada",Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception""",,Security and privacy/Sécurité et confidentialité,,,,,,
DDN2-A30,Active / Shown in catalogue,Digital Academy/Académie du numérique,Article/Article,Working with Artificial Intelligence Series: Memos in Minutes (DDN2-A30),"This article explores the practical applications of using generative artificial intelligence when drafting memos, and provides instructions and prompts on how to write effective memos using large language models.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A30&cm_locale=en,Série sur le travail avec l'intelligence artificielle : des notes de service en quelques minutes (DDN2-A30),"Cet article permet d'explorer les applications pratiques de l'intelligence artificielle générative lors de la rédaction de notes de service, et fournit des instructions et des messages-guides qui peuvent servir à rédiger des notes de service efficaces à l'aide de grands modèles de langage.",https://catalogue.csps-efpc.gc.ca/product?catalog=DDN2-A30&cm_locale=fr,CSPS/EFPC,CSPS website,Yes/Oui,"DDN235 - Discovering Cyber Security/À la découverte de la cybersécurité,DDN220 - Getting Started with Machine Learning/Démarrer avec l'apprentissage automatique",Employees/Employés,,,10 minutes or less/10 minutes ou moins,Less than 10 minutes/Moin de 10 minutes,Digital and Data/Numérique et données ,,Digital/Numérique,,,,"""Digital, data and design/Numérique, données et conception"",Artificial Intelligence/Intelligence artificielle",,Digital Leadership/Leadership numérique,,,,,,
